value,timestamp
131,2024-07-02 02:00:04.327583
131,2024-07-02 02:00:04.631434
131,2024-07-02 02:00:05.001008
131,2024-07-02 02:00:05.289621
130,2024-07-02 02:00:05.575219
230,2024-07-02 02:00:05.863095
230,2024-07-02 02:00:06.151104
220,2024-07-02 02:00:06.439142
220,2024-07-02 02:00:06.727176
134,2024-07-02 02:00:07.018091
134,2024-07-02 02:00:07.305589
134,2024-07-02 02:00:08.439365
134,2024-07-02 02:00:09.031108
134,2024-07-02 02:00:09.319143
133,2024-07-02 02:00:09.606954
133,2024-07-02 02:00:09.894970
133,2024-07-02 02:00:10.183554
133,2024-07-02 02:00:10.471219
135,2024-07-02 02:00:10.761606
135,2024-07-02 02:00:11.047280
135,2024-07-02 02:00:11.335121
135,2024-07-02 02:00:11.623178
135,2024-07-02 02:00:11.911236
135,2024-07-02 02:00:12.199235
135,2024-07-02 02:00:12.487264
135,2024-07-02 02:00:12.775049
135,2024-07-02 02:00:13.063070
135,2024-07-02 02:00:13.351133
135,2024-07-02 02:00:13.639185
135,2024-07-02 02:00:13.927251
136,2024-07-02 02:00:14.215239
136,2024-07-02 02:00:14.503376
136,2024-07-02 02:00:14.807126
136,2024-07-02 02:00:15.094908
136,2024-07-02 02:00:15.383211
137,2024-07-02 02:00:15.671231
137,2024-07-02 02:00:15.959047
137,2024-07-02 02:00:16.247072
137,2024-07-02 02:00:16.535114
137,2024-07-02 02:00:16.823752
137,2024-07-02 02:00:17.112034
137,2024-07-02 02:00:17.398959
137,2024-07-02 02:00:17.703241
137,2024-07-02 02:00:18.423092
137,2024-07-02 02:00:18.711138
137,2024-07-02 02:00:19.001470
138,2024-07-02 02:00:19.286974
138,2024-07-02 02:00:19.575259
138,2024-07-02 02:00:19.863155
138,2024-07-02 02:00:20.151157
138,2024-07-02 02:00:20.438941
138,2024-07-02 02:00:20.727004
138,2024-07-02 02:00:21.015050
138,2024-07-02 02:00:21.303137
138,2024-07-02 02:00:21.591163
138,2024-07-02 02:00:21.879131
138,2024-07-02 02:00:22.166922
138,2024-07-02 02:00:22.454965
138,2024-07-02 02:00:22.743001
138,2024-07-02 02:00:23.031114
138,2024-07-02 02:00:23.319190
138,2024-07-02 02:00:23.606943
138,2024-07-02 02:00:23.894952
138,2024-07-02 02:00:24.183004
138,2024-07-02 02:00:24.471268
138,2024-07-02 02:00:24.759208
138,2024-07-02 02:00:25.046912
145,2024-07-02 02:00:25.334959
145,2024-07-02 02:00:25.623448
212,2024-07-02 02:00:25.913580
212,2024-07-02 02:00:26.199330
212,2024-07-02 02:00:26.487102
216,2024-07-02 02:00:26.793402
210,2024-07-02 02:00:35.000258
210,2024-07-02 02:00:35.287202
210,2024-07-02 02:00:35.574966
210,2024-07-02 02:00:35.863047
210,2024-07-02 02:00:36.151071
210,2024-07-02 02:00:36.439102
210,2024-07-02 02:00:36.727160
210,2024-07-02 02:00:37.015005
210,2024-07-02 02:00:37.303030
210,2024-07-02 02:00:37.591360
210,2024-07-02 02:00:37.879483
210,2024-07-02 02:00:38.199199
210,2024-07-02 02:00:38.487206
210,2024-07-02 02:00:38.775059
210,2024-07-02 02:00:39.063114
210,2024-07-02 02:00:39.351199
210,2024-07-02 02:00:39.639144
210,2024-07-02 02:00:39.927233
210,2024-07-02 02:00:40.215263
207,2024-07-02 02:00:40.503305
207,2024-07-02 02:00:40.791307
207,2024-07-02 02:00:41.079371
207,2024-07-02 02:00:41.367086
207,2024-07-02 02:00:41.655126
207,2024-07-02 02:00:41.945555
205,2024-07-02 02:00:42.231261
205,2024-07-02 02:00:42.519307
205,2024-07-02 02:00:42.807056
205,2024-07-02 02:00:43.095098
207,2024-07-02 02:00:43.383195
207,2024-07-02 02:00:43.671222
207,2024-07-02 02:00:43.959260
207,2024-07-02 02:00:44.247290
207,2024-07-02 02:00:44.534971
207,2024-07-02 02:00:44.822963
207,2024-07-02 02:00:45.111049
207,2024-07-02 02:00:45.399050
207,2024-07-02 02:00:45.687105
207,2024-07-02 02:00:45.974992
207,2024-07-02 02:00:46.262966
207,2024-07-02 02:00:46.550943
207,2024-07-02 02:00:46.839261
207,2024-07-02 02:00:47.127081
207,2024-07-02 02:00:47.415106
207,2024-07-02 02:00:47.703103
207,2024-07-02 02:00:47.991198
207,2024-07-02 02:00:48.279239
207,2024-07-02 02:00:48.566959
207,2024-07-02 02:00:48.855002
207,2024-07-02 02:00:49.143169
207,2024-07-02 02:00:49.431107
207,2024-07-02 02:00:49.719179
207,2024-07-02 02:00:50.009587
209,2024-07-02 02:00:50.297660
209,2024-07-02 02:00:50.583290
208,2024-07-02 02:00:50.873435
205,2024-07-02 02:00:51.159210
205,2024-07-02 02:00:51.449461
204,2024-07-02 02:00:51.735202
204,2024-07-02 02:00:52.023426
204,2024-07-02 02:00:52.313644
203,2024-07-02 02:00:52.599060
203,2024-07-02 02:00:52.889632
338,2024-07-02 02:00:53.175311
335,2024-07-02 02:00:53.465538
333,2024-07-02 02:00:53.753418
332,2024-07-02 02:00:54.039212
332,2024-07-02 02:00:54.326974
332,2024-07-02 02:00:54.615009
332,2024-07-02 02:00:54.903052
332,2024-07-02 02:00:55.191143
332,2024-07-02 02:00:55.479178
332,2024-07-02 02:00:55.766917
332,2024-07-02 02:00:56.054956
332,2024-07-02 02:00:56.342988
332,2024-07-02 02:00:56.631025
332,2024-07-02 02:00:56.919067
332,2024-07-02 02:00:57.207104
332,2024-07-02 02:00:57.511122
